id,date,value,optin,giftaid,appeal,platform,sourcecode,campaign,source,medium,creative,audience,warm
0YS69246TF508011G,25/07/2020 07:12,50.0,,True,Global Coronavirus Appeal,Paypal,173447,Global Coronavirus Appeal,Salesforce,Email,Donate_SendNumber2_DEC Email 2 openers_Mega Button_DONATE NOW,Emergency Donors,OptInNotReshown
ICC19068928892,25/07/2020 06:41,25.0,False,False,Global Coronavirus Appeal,WorldPay,170464,UK Fund Appeal,Facebook,Social Ad,Donate Landing_Video_DRTV,Morally Minded_Charity Page Likers,
1L7638917W1504116,25/07/2020 06:21,50.0,False,True,UK Coronavirus Response,Paypal,170458,UK Fund Appeal,Homepage Herobox,Internal,Donate Landing_Homepage summer 2020,BRC Site,
5TN68151VT153902G,25/07/2020 06:04,25.0,False,False,Global Coronavirus Appeal,Paypal,170464,Global Coronavirus Appeal,Facebook,Social Ad,Donate Landing_Carousel_DEC_Carousel_Video,Website Traffic,
52Y33643FP7123710,25/07/2020 05:25,50.0,False,True,Global Coronavirus Appeal,Paypal,170464,Global Coronavirus Appeal,Facebook,Social Ad,Donate Landing_Video_DEC - Generic Video,Women_35-44_45-54_55 Plus,
2ST81766X07831649,25/07/2020 04:38,50.0,False,True,UK Coronavirus Response,Paypal,170460,Kindness Will Keep Us Together,google,cpc,brand,pure brand,
4JK069559Y2935700,25/07/2020 03:15,20.0,False,True,Global Coronavirus Appeal,Paypal,170464,Global Coronavirus Appeal,Facebook,Social Ad,Donate Landing_Carousel_DEC_Carousel_Video,Website Traffic,
ICC19068107673,24/07/2020 23:57,200.0,False,False,UK Coronavirus Response,WorldPay,170463,,,,,,
ICC19067962097,24/07/2020 22:54,25.0,True,True,UK Coronavirus Response,WorldPay,170458,UK Fund Appeal,Homepage Herobox,Internal,Donate Landing_Homepage summer 2020,BRC Site,
05N640005G701084H,24/07/2020 22:10,10.0,False,True,Syria Crisis Appeal,Paypal,170460,Syria Crisis Appeal,google,cpc,generic,donate to syria,
1DE886375Y418500T,24/07/2020 22:01,15.0,False,True,UK Coronavirus Response,Paypal,170458,UK Fund Appeal,Homepage Herobox,Internal,Donate Landing_Homepage summer 2020,BRC Site,
ICC19067825269,24/07/2020 22:00,50.0,False,True,Global Coronavirus Appeal,WorldPay,170464,Global Coronavirus Appeal,Facebook,Social Ad,Donate Landing_Video_DEC - Generic Video,Men_35-44_45-54_55 Plus,
1XD418139H086323A,24/07/2020 21:45,10.0,False,True,UK Coronavirus Response,Paypal,170463,Kindness Will Keep Us Together,Direct Mail,Offline,Donate Landing_July donate,Warm Supporters,
ICC18068030995,24/07/2020 21:39,50.0,False,True,UK Coronavirus Response,WorldPay,170463,,,,,,
81T72748SU372861N,24/07/2020 21:32,25.0,False,True,Global Coronavirus Appeal,Paypal,166707,Kindness Starts With You,Facebook,Social Ad,Donate Landing_Carousel_International1,Active Altruists_Discerning Philanthropists_Good Intentions_Reciprocators,
87R138300G9516035,24/07/2020 21:28,25.0,True,True,Global Coronavirus Appeal,Paypal,170464,Global Coronavirus Appeal,Facebook,Social Ad,Donate Landing_Carousel_DEC_Carousel_Site,Website Traffic,
ICC19067724633,24/07/2020 21:19,5.0,,False,Global Coronavirus Appeal,WorldPay,173448,Global Coronavirus Appeal,Salesforce,Email,Donate_SendNumber2_DEC Email 2 non openers_Mega Button_DONATE NOW,Emergency Donors,OptInNotReshown
9TN84930P0926701X,24/07/2020 21:19,25.0,,False,Global Coronavirus Appeal,Paypal,173448,Global Coronavirus Appeal,Salesforce,Email,Donate_SendNumber2_DEC Email 2 non openers_Mega Button_DONATE NOW,Emergency Donors,OptInNotReshown
ICC18067977190,24/07/2020 21:18,30.0,,True,Global Coronavirus Appeal,WorldPay,173448,Global Coronavirus Appeal,Salesforce,Email,Donate_SendNumber2_DEC Email 2 non openers_Mega Button_DONATE NOW,Emergency Donors,OptInNotReshown
1A830062VE062752F,24/07/2020 21:17,100.0,False,True,Yemen Crisis Appeal,Paypal,170460,Yemen Crisis Appeal,google,cpc,generic,yemen charity,
ICC18067869095,24/07/2020 20:38,50.0,False,True,UK Coronavirus Response,WorldPay,170463,,,,,,
ICC18067840694,24/07/2020 20:28,100.0,False,True,Yemen Crisis Appeal,WorldPay,170463,,,,,,
38U66763BJ1574047,24/07/2020 20:11,30.0,,True,Global Coronavirus Appeal,Paypal,173448,Global Coronavirus Appeal,Salesforce,Email,Donate_SendNumber2_DEC Email 2 non openers_Copy 2_DEC Coronavirus Appeal,Emergency NonDonors,OptInNotReshown
ICC14203079230,24/07/2020 20:09,100.0,False,True,National Emergencies Trust Coronavirus Appeal,WorldPay,170463,,,,,,
5AM27745XV6293006,24/07/2020 19:54,50.0,True,True,Yemen Crisis Appeal,Paypal,170463,,,,,,
9TJ91968G9684632J,24/07/2020 19:50,50.0,,True,Global Coronavirus Appeal,Paypal,173447,Global Coronavirus Appeal,Salesforce,Email,Donate_SendNumber2_DEC Email 2 openers_Mega Button_DONATE NOW,Emergency Donors,OptInNotReshown
ICC18067721357,24/07/2020 19:47,25.0,,True,Global Coronavirus Appeal,WorldPay,173447,Global Coronavirus Appeal,Salesforce,Email,Donate_SendNumber2_DEC Email 2 openers_Mega Button_DONATE NOW,Emergency Donors,OptInNotReshown
ICC18067693881,24/07/2020 19:38,25.0,False,True,UK Coronavirus Response,WorldPay,170459,Kindness Will Keep Us Together,bing,cpc,brand,pure brand,
4LA8218166870584G,24/07/2020 19:27,50.0,False,True,Support People In Crisis,Paypal,170463,,,,,,
ICC14202935793,24/07/2020 19:21,2.0,False,True,UK Coronavirus Response,WorldPay,170463,,,,,,
ICC14202848230,24/07/2020 18:56,50.0,False,True,Yemen Crisis Appeal,WorldPay,170459,Yemen Crisis Appeal,bing,cpc,generic,yemen appeal,
3MR08301AT278003L,24/07/2020 18:40,20.0,False,False,UK Coronavirus Response,Paypal,170458,UK Fund Appeal,Homepage Herobox,Internal,Donate Landing_Homepage summer 2020,BRC Site,
658441937K416261N,24/07/2020 18:28,5.0,False,True,Yemen Crisis Appeal,Paypal,170463,,,,,,
1S7449324A7363133,24/07/2020 18:26,30.0,False,False,UK Coronavirus Response,Paypal,170460,Kindness Will Keep Us Together,google,cpc,generic,charities to donate to,
ICC19067162571,24/07/2020 18:15,25.0,False,False,Global Coronavirus Appeal,WorldPay,170464,Global Coronavirus Appeal,Facebook,Social Ad,Donate Landing_Carousel_DEC_Carousel_Video,Website Traffic,
ICC14202451400,24/07/2020 16:54,70.0,False,True,National Emergencies Trust Coronavirus Appeal,WorldPay,170463,,,,,,
8S57616093525621K,24/07/2020 16:47,200.0,False,True,Yemen Crisis Appeal,Paypal,170460,Yemen Crisis Appeal,google,cpc,generic,zakat for yemen,
14L87845XW8985442,24/07/2020 16:36,25.0,False,False,UK Coronavirus Response,Paypal,170458,UK Fund Appeal,Homepage Herobox,Internal,Donate Landing_Homepage summer 2020,BRC Site,
ICC19066805013,24/07/2020 16:27,50.0,False,True,Yemen Crisis Appeal,WorldPay,170463,Yemen Crisis Appeal,,,brand,red cross yemen,
ICC14202362284,24/07/2020 16:27,50.0,False,False,Global Coronavirus Appeal,WorldPay,170463,,,,,,
5E164108MN6484317,24/07/2020 16:26,10.0,False,True,Global Coronavirus Appeal,Paypal,170464,Global Coronavirus Appeal,Facebook,Social Ad,Donate Landing_Carousel_DEC_Carousel_Video,Website Traffic,
ICC19066775641,24/07/2020 16:18,50.0,False,True,UK Coronavirus Response,WorldPay,170463,,,,,,
5VV04736TU304151Y,24/07/2020 16:17,10.0,True,True,Global Coronavirus Appeal,Paypal,170464,Global Coronavirus Appeal,Facebook,Social Ad,Donate Landing_Carousel_DEC_Carousel_Video,Website Traffic,
